DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
65.5,43,37.5,53,71,7.5,,,,5,,,,,R117,6,20,194,68.5,,,,,,,,,,,2019
65.5,43,37.5,53,71,7.5,,,,8,,,,,R118,6,3,242,71,,,,,,,,,,,2019
65.5,43,37.5,53,71,7.5,,,,7,,,,,R119,11,74.5,192,67.5,234,66.5,156,62.5,237,66.5,,,,,2019
65.5,43,37.5,48,71,26,66,34,38,31,11,4,,,R120,9,42,210,66,201,64,150,62,,,,,,,2019
65.5,43,37.5,48,71,26,,,,10,,,,,R121,22,94,198,63.5,202,68,190,63.5,160,64.5,202,67,,,2019
65.5,43,37.5,48,71,26,,,,19,,,,,R122,15,57,162,64,131,65,160,66,,,,,,,2019
65.5,43,37.5,48,71,26,,23,35,9,28,18,,,R123,18,92,151,63.5,165,64.5,162,60,120,61,,,,,2019
65.5,43,37.5,48,71,26,,,,,,6,,,R124,18,72,215,64,212,67,210,67.5,230,68,,,,,2019
65.5,43,37.5,48,71,26,,,,,,12,,,R125,11,48,167,69,224,65,170,63.5,120,63,,,,,2019
65.5,43,37.5,48,71,26,,,,37,31,,,,R126,10,20,200,71,,,,,,,,,,,2019
65.5,43,37.5,48,71,26,,,,9.5,,,,,R127,15,79,149,64,121,60,162,62,223,63,,,,,2019
65.5,43,37.5,48,71,26,,,50,18,38,10,28,3.5,R128,13,69,134,63.5,162,64.5,214,65,171,63.5,,,,,2019
65.5,43,37.5,48,71,26,,,39,3.5,11,2.5,,,R129,10,36,209,65,198,62,191,67,,,,,,,2019
59,55,34,30,24,5,,,,,,,,,R1,10,54.5,141,60,139,57,,,,,,,,,2019
59,55,34,30,,25.5,,,,,,,,,R2,10,73.5,139,57,158,69,123,65.5,,,,,,,2019
59,55,34,41,60.5,40,33,11.5,19.5,42,,,,,R3,7,25,130,63,126,61,,,,,,,,,2019
59,55,34,41,,,,,,9.5,,,,,R4,5,7,153,69,,,,,,,,,,,2019
59,55,34,41,,,,,,3,,,,,R5,5,6,153,64,,,,,,,,,,,2019
59,55,34,41,,,,,,4.5,,,,,R6,5.5,10,182,67,,,,,,,,,,,2019
59,55,34,41,,,,,,9,,,,,R7,5,12,135,62,,,,,,,,,,,2019
59,55,34,41,,,,,,4.5,,,,,R8,6,16,160,64,,,,,,,,,,,2019
59,55,34,41,,,,,,10,,,,,R9,7,55,144,67,143,63,,,,,,,,,2019
59,55,34,50,39,8.5,24.5,8,14,7,,,,,R10,5,23,135,63,,,,,,,,,,,2019
59,55,34,50,,,,7,18,16,17,2,,,R11,5.5,21.5,150,67,130,69,,,,,,,,,2019
59,55,34,50,,,,,,,,3,8,9.5,R12,6,33,134,64.5,153,68.5,,,,,,,,,2019
59,55,34,50,,,,,,,,,,4,R13,4.5,18,108,56.5,,,,,,,,,,,2019
59,55,34,50,,,,,17,12,,,,,R14,6,40,106,62.5,102,64.5,,,,,,,,,2019
59,55,34,46,53,8.5,,,,,,,,,R15,10,103,143,67,125,65.5,201,74,172,72.5,190,75,,,2019
59,55,34,46,,,22,23,,,,,,,R16,5,19,155,69,120,65,,,,,,,,,2019
59,55,34,46,,,,23.5,,,,,,,R17,4.5,30,156,68,152,66.5,,,,,,,,,2019
59,55,34,46,,,,4,,,,,,,R18,5.5,17,108,69.5,153,65.5,,,,,,,,,2019
59,55,34,46,,,,8,,,,,,,R19,10,35.5,152,65.6,158,69,,,,,,,,,2019
59,55,34,46,,,,19,20,4.5,,,,,R20,7.5,16,223,67,,,,,,,,,,,2019
59,55,34,46,,30.5,9,8,,,,,,,R21,10,47.5,166,65,163,63.5,163,66.5,,,,,,,2019
59,55,34,46,,11.5,21,6.5,13,2,,,,,R22,7,36,152,69,142,66.5,,,,,,,,,2019
59,55,34,46,,,,21,,,,,,,R23,6,6,190,71.5,,,,,,,,,,,2019
59,55,34,46,,,,9.5,13.5,3,,,,,R24,7,27,215,69,204,66,,,,,,,,,2019
59,55,34,9,53,13,,,,,,,,,R25,10,24,137,65,201,67.5,,,,,,,,,2019
59,55,34,9,,,27,26,,,,,,,R26,7,18,151,63.5,,,,,,,,,,,2019
59,55,34,9,,,,5,,,,,,,R27,12,68,181,66.5,215,74,211,72.5,,,,,,,2019
59,55,34,9,,,,3.5,,,,,,,R28,3,30.5,164,68,137,64.5,169,68,,,,,,,2019
59,55,34,9,,,,10,,,,,,,R29,7.5,28,205,69,130,72,,,,,,,,,2019
59,55,34,9,,,,6,,,,,,,R30,12,2,,,,,,,,,,,,,2019
59,55,34,9,,,,5.5,,,,,,,R31,9,37.5,152,60.5,177,67.5,,,,,,,,,2019
59,55,34,9,,,,12,19,4.5,,,,,R32,7,24,186,70,,,,,,,,,,,2019
59,55,34,50,72,6.5,43,35.5,26.5,6,13,6.5,,,R33,7,23,167,67.5,175,72,,,,,,,,,2019
59,55,34,50,,,,,,,,6.5,,,R34,8,48,184,63.5,111,61.5,102,62.5,,,,,,,2019
59,55,34,50,,,,,,7,25,10.5,,,R35,9,38,242,73.5,227,66.5,,,,,,,,,2019
59,55,34,50,,,,,,,,3.5,,,R36,11,43,193,71,205,70.5,,,,,,,,,2019
59,55,34,50,,,,,,,,11,,,R37,8,36,219,75,164,64,,,,,,,,,2019
59,55,34,50,,,,,,,,8,,,R38,7,2.5,216,71,,,,,,,,,,,2019
59,55,34,50,,,,,,,,12,,,R39,14,42,184,67,163,69,198,68,171,64,,,,,2019
59,55,34,50,,,,,,,,3.5,,,R40,14,63,204,71,236,69.5,171,67,,,,,,,2019
59,55,34,50,,20,32,39,22,4.5,,,,,R41,9.5,44,145,63,190,72,202,72,,,,,,,2019
59,55,34,50,,,,,,11.5,,,,,R42,9,46,206,71.5,188,68.5,186,70,,,,,,,2019
59,55,34,50,,,,,,7,,,,,R43,10.5,69,181,69,205,74.5,214,73,190,70.5,,,,,2019
59,55,34,50,,,,,,6.5,,,,,R44,13,79,168,69.5,180,73.5,199,72,201,71,,,,,2019
59,55,34,50,,,,,,5.5,,,,,R45,14,78,149,60.5,237,77,200,75,191,65.5,,,,,2019
59,55,34,50,,7,17,5,,,,,,,R46,8,51,180,69.5,215,73,202,71.5,,,,,,,2019
59,55,34,50,,18,32,3,,,,,,,R47,7,24,164,62,,,,,,,,,,,2019
59,55,34,104,15,2,,,,,,,,,R48,8,69.5,176,70.5,150,68,140,65,,,,,,,2019
59,55,34,24,20,7,,,,,,,,,R49,5.5,24.5,159,66.5,,,,,,,,,,,2019
59,55,34,24,,9.5,,,,,,,,,R50,4.5,21,160,67,154,67,,,,,,,,,2019
59,55,34,24,,14,10,7,,,,,,,R51,6.5,34,183,69,151,68,147,65,,,,,,,2019
59,55,34,24,,,,3,,,,,,,R52,5,22.5,177,69,171,68.5,123,58.5,,,,,,,2019
59,55,34,18,80,9.5,21,30,,,,,,,R53,13,98,157,63,215,77.5,214,67.5,,,,,,,2019
59,55,34,18,,,,-11,,,,,,,R54,12.5,69.5,150,69.5,169,67,133,61,146,64,,,,,2019
59,55,34,18,,5,25,6.5,15,23,,,,,R55,4,30,201,71.5,117,60.5,,,,,,,,,2019
59,55,34,18,,,,,,,11,15,7,5,R56,6,19,118,63.5,117,60.5,,,,,,,,,2019
59,55,34,18,,13,4.5,17,45,17,11.5,10,,,R57,5.5,34,169,67,165,65.5,,,,,,,,,2019
59,55,34,18,,,,,,,,4.5,,,R58,7.5,54,177,67.5,,,,,,,,,,,2019
59,55,34,18,,,,4,,,,,,,R59,11,90,142,59.5,174,65.5,201,64.5,169,65.5,218,67,,,2019
59,55,34,18,,,,9,26.5,8,,,,,R60,17,104,178,63.5,220,67,178,70,200,78.5,238,74.5,,,2019
59,55,34,18,,,,,,11,,,,,R61,10,67.5,153,63,139,65,180,66,,,,,,,2019
59,55,34,18,,,,,,5,12,4,12,4,R62,9,48,249,62.5,209,72,181,66.5,,,,,,,2019
59,55,34,18,,,,,,7,32,12.5,25,6,R63,18,87,199,70,156,65.5,196,68.5,164,61,,,,,2019
59,55,34,18,,,,,,,,,,7,R64,18,78.5,197,67.5,204,72.5,225,73.5,199,69,,,,,2019
59,55,34,86,36,6,16.5,14,,,,,,,R65,5.5,28,155,64,130,61,,,,,,,,,2019
59,55,34,86,,,,24.5,8,5.5,,,,,R66,6,23,128,63,,,,,,,,,,,2019
59,55,34,86,,27,,,,,,,,,R67,6.5,57,147,64.5,134,61.5,,,,,,,,,2019
59,55,34,86,,33,,,,,,,,,R68,13,97,200,71,159,64,172,66.5,,,,,,,2019
59,55,34,86,,6,,,,,,,,,R69,5,32,170,68,140,62.5,,,,,,,,,2019
59,55,34,86,,25,16,11,,,,,,,R70,8.5,60,140,63,141,72.5,129,59,,,,,,,2019
59,55,34,20,55,26,,,,,,,,,R71,7,20,171,68,,,,,,,,,,,2019
59,55,34,20,,9,,,,,,,,,R72,9,57,172,68.5,122,57.5,,,,,,,,,2019
59,55,34,20,,19.5,,,,,,,,,R73,10,61.5,141,62,151,64.5,136,59.5,,,,,,,2019
59,55,34,20,,11,21,12,,,,,,,R74,9.5,54,173,68,153,64,,,,,,,,,2019
59,55,34,20,,,,10,,,,,,,R75,5,21,132,59.5,,,,,,,,,,,2019
59,55,34,20,,,,9.5,,,,,,,R76,5.5,11,124,63,,,,,,,,,,,2019
59,55,34,20,,,,14.5,,,,,,,R77,15.5,26,137,60.5,169,64.5,,,,,,,,,2019
59,55,34,50,45,17.5,23.5,2.5,9,13,5,6,,,R78,4,10,137,64.5,,,,,,,,,,,2019
59,55,34,50,,,,2,17.5,20,,,,,R79,6,40.5,148,64,176,68.5,170,67,,,,,,,2019
