Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 11 / ligne 13 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,Poids ,diamètre ,,moy-poids
71.5,31,40.3,63,83.5,214,44.59,4,26.5,43,,,,,R83,7.8,35.5,149,66.23,116.76,,116.76,,,,,,,,,,,,,,,,,,3,382.52,119,60.99,,,,
71.5,31,40.3,63,83.5,214,44.59,4,26.5,47.5,,,,,R84,8.15,38,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,127,60.59,,,,
71.5,31,40.3,63,83.5,214,44.59,19.5,,,,,,,R85,5.37,35.5,131,61.43,116.76,,,,,,,,,,,,,,,,,,,,2,247.76,144,64.76,,,,
71.5,31,40.3,63,83.5,214,44.59,31.5,,,,,,,R86,4.3,22,,,,,,,,,,,,,,,,,,,,,,,0,0,114,58.64,,,,
71.5,31,40.3,63,83.5,214,44.59,40,,,,,,,R87,5.7,23.5,,,,,,,,,,,,,,,,,,,,,,,0,0,162,66.67,,,,
71.5,31,40.3,63,83.5,214,44.59,43.5,,,,,,,R88,7.11,50,130,62.21,98,55.56,,,,,,,,,,,,,,,,,,,2,228,191,72.63,,,,
71.5,31,40.3,63,83.5,214,44.59,49.5,21.12,14,,,,,R89,7.18,56,142,64.05,116.76,,126,61.88,116.76,,,,,,,,,,,,,,,,4,501.52,104,59.3,,,,
71.5,31,40.3,63,83.5,214,39.37,4,8.04,10,,,,,R90,5.12,47,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,75,49.44,,,,
71.5,31,40.3,63,83.5,234,15.8,1,9.33,4,,,,,R91,6.08,43,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
71.5,31,40.3,63,83.5,234,15.8,3,12.42,8,,,,,R92,6.4,31,117,58.09,116.76,,,,,,,,,,,,,,,,,,,,2,233.76,,,,,,
71.5,31,40.3,91,,,,,,,,,,,R93,9.44,91,105,58.49,90,55.73,136,66.96,129,60.79,,,,,,,,,,,,,,,4,460,,,,,,
71.5,31,40.3,103,34.8,84.5,,,,,,,,,R94,5.26,28,104,56.96,81,52.81,,,,,,,,,,,,,,,,,,,2,185,,,,,,
71.5,31,40.3,103,34.8,117.5,,,,,,,,,R95,7.5,71,116.76,,105,55.02,90,54.33,,,,,,,,,,,,,,,,,3,311.76,,,,,,
71.5,31,40.3,103,34.8,119.5,21.09,20,,,,,,,R96,5.33,25,144,65.42,,,,,,,,,,,,,,,,,,,,,1,144,,,,,,
71.5,31,40.3,103,34.8,119.5,21.09,44,,,,,,,R97,6.8,63,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,,,,,,
71.5,31,40.3,119,8.6,21,,,,,,,,,R98,4.7,25,119,59.07,150,63.26,105,56.69,,,,,,,,,,,,,,,,,3,374,,,,,,
71.5,31,40.3,145,32.29,4,8.8,5,,,,,,,R99,5,48,105,56.35,99,53.97,114,65.57,,,,,,,,,,,,,,,,,3,318,,,,,,
71.5,31,40.3,171,39.02,3,,,,,,,,,R100,7.11,58,116.76,,116.76,,,,,,,,,,,,,,,,,,,,2,233.52,,,,,,
71.5,31,40.3,187,30.6,8,,,,,,,,,R101,5.2,28,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,,,,,,
71.5,31,40.3,187,30.6,45,,,,,,,,,R102,7.34,50,116.76,,,,,,,,,,,,,,,,,,,,,,1,116.76,,,,,,
71.5,31,40.3,187,30.6,51,6.5,5.5,,,,,,,R103,5.3,31,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
71.5,31,40.3,187,20.44,7,,,,,,,,,R104,7.11,69,139,64.28,143,64.1,109,57.33,94,52.84,111,57.65,,,,,,,,,,,,,5,596,,,,,,
71.5,31,40.3,211.5,47.5,2,15.4,3,,,,,,,R105,7.48,63,116.76,,102,55.45,,,,,,,,,,,,,,,,,,,2,218.76,,,,,,
