Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 6 / ligne 11,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
77,35,38,89,72.3,81,69.23,39,13.15,4,,,,,R66,7.8,33.5,169,64.19,,,,,,,,,,,,,,,,,1,169,,,,
77,35,38,89,72.3,81,69.23,39,13.15,5.5,,,,,R67,9.9,86,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,89,72.3,81,69.23,47,60,2,10.27,4.5,,,R68,5.7,43,154,69.16,151,66.71,,,,,,,,,,,,,,,2,305,,,,
77,35,38,89,72.3,81,69.23,47,60,2,10.27,6,,,R69,6.06,32.5,142,61.69,,,,,,,,,,,,,,,,,1,142,,,,
77,35,38,89,72.3,81,69.23,47,60,28,,,,,R70,6.8,65,,,,,,,,,,,,,,,,,,,0,0,,,,
77,35,38,89,72.3,81,69.23,47,60,35,40.21,30,9.5,3.5,R71,7.6,58,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,89,72.3,81,69.23,47,60,35,40.21,37.5,22.37,5.5,R72,7.76,56,131.98,,,,,,,,,,,,,,,,,,1,131.98,,,,
77,35,38,89,72.3,81,69.23,47,60,46,35.8,4.5,,,R73,4.9,26,0,,,,,,,,,,,,,,,,,,1,0,,,,
77,35,38,89,72.3,81,69.23,47,60,46,35.8,14.5,23.4,47,R74,6.9,48,131.98,,93,53.54,,,,,,,,,,,,,,,2,224.98,,,,
77,35,38,89,72.3,81,69.23,47,60,57,32.26,34,,,R75,9.4,66,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,89,72.3,81,69.23,47,60,57,32.26,8.5,27.8,7,R76,8.26,63,131.98,,130,63.48,,,,,,,,,,,,,,,2,261.98,,,,
77,35,38,89,72.3,81,69.23,47,60,57,32.26,8.5,27.8,11,R77,8.15,60,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,162,42,2.5,7.34,11,,,,,,,R78,5.7,56.5,155,64.4,143,63.26,,,,,,,,,,,,,,,2,298,,,,
77,35,38,183,57.6,30,,,,,,,,,R79,6,35.5,,,,,,,,,,,,,,,,,,,0,0,,,,
77,35,38,183,57.6,110.5,46,6,22.26,3.5,,,,,R80,6.03,29,99,55.42,,,,,,,,,,,,,,,,,1,99,,,,
77,35,38,183,57.6,110.5,46,6,22.26,7.5,,,,,R81,7.2,47,200,70.08,,,,,,,,,,,,,,,,,1,200,,,,
77,35,38,183,57.6,110.5,46,6,22.26,7.5,,,,,R82,6.9,59,131.98,,,,,,,,,,,,,,,,,,1,131.98,,,,
77,35,38,183,57.6,110.5,46,15.5,35.4,21,,,,,R83,5.8,37.5,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,183,57.6,110.5,46,15.5,35.4,30,,,,,R84,11.21,66,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,183,57.6,110.5,46,15.5,35.4,39.5,,,,,R85,7.38,56,,,,,,,,,,,,,,,,,,,0,0,,,,
77,35,38,195,35.05,4,20,11.5,,,,,,,R86,7,68,127,60.81,,,,,,,,,,,,,,,,,1,127,,,,
77,35,38,195,35.05,4,20,21.5,,,,,,,R87,9.35,90,163,65.95,66,50.07,161,66.91,,,,,,,,,,,,,3,390,,,,
77,35,38,227,25.8,2,,,,,,,,,R88,7,72,166,65.08,131.98,,,,,,,,,,,,,,,,2,297.98,,,,
77,35,38,270.5,69.5,8,,,,,,,,,R89,7.9,56,169,67.76,,,,,,,,,,,,,,,,,1,169,,,,
77,35,38,270.5,69.5,14,,,,,,,,,R90,8.27,42,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,270.5,69.5,14,21.46,12.5,,,,,,,R91,7.77,71,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,35,38,270.5,69.5,14,21.46,44.5,21.7,3,,,,,R92,8.7,70,131.98,,,,,,,,,,,,,,,,,,1,131.98,,,,
77,35,38,270.5,69.5,14,21.46,44.5,19.9,2,,,,,R93,8.26,69,195,72.59,,,,,,,,,,,,,,,,,1,195,,,,
77,35,38,270.5,69.5,14,21.46,44.5,35.24,14,27.8,5,25.6,2,R94,9.6,56,,,,,,,,,,,,,,,,,,,0,0,,,,
77,35,38,270.5,69.5,14,21.46,44.5,35.24,14,27.8,5,25.6,5.5,R95,10,60,180,69.07,,,,,,,,,,,,,,,,,1,180,,,,
77,40,37,45,24.09,53,22.24,3,13.3,0,,,,,R96,9.3,83,78,58.69,123,59.85,113,58.33,,,,,,,,,,,,,3,314,204,72.91,,
77,40,37,45,24.09,56,14.5,27,,,,,,,R97,7.32,84,130,60.08,116,57.6,109,56.61,,,,,,,,,,,,,3,355,,,,
77,40,37,45,24.09,126,25.3,0.5,,,,,,,R98,5.9,44,123,58.69,149,64.57,,,,,,,,,,,,,,,2,272,,,,
77,40,37,45,24.09,126,25.3,0.5,,,,,,,R99,8.37,91.5,116,59.77,143,63.93,124,60.28,83,53.77,,,,,,,,,,,4,466,,,,
77,40,37,45,24.09,134,47.3,32,45.3,4,13.3,6,,,R100,6.8,60,142,65.4,131.98,,148,64.63,,,,,,,,,,,,,3,421.98,,,,
77,40,37,45,24.09,134,47.3,32,45.3,34,30.45,4,14.55,62,R101,4.9,34,109,55.33,,,,,,,,,,,,,,,,,1,109,,,,
77,40,37,45,24.09,134,47.3,32,45.3,34,30.45,4,14.55,69,R102,5,37,164,65.72,,,,,,,,,,,,,,,,,1,164,,,,
77,40,37,45,24.09,134,47.3,32,45.3,34,30.45,5.5,20.7,16,R103,5.7,53,172,70.48,,,,,,,,,,,,,,,,,1,172,,,,
77,40,37,45,24.09,134,47.3,32,45.3,41.5,33.28,3.5,,,R104,10.13,68,157,65.63,131.98,,,,,,,,,,,,,,,,2,288.98,,,,
77,40,37,45,24.09,134,47.3,32,45.3,44.5,,,,,R105,6.29,30,,,,,,,,,,,,,,,,,,,0,0,,,,
77,40,37,75,19.9,5,,,,,,,,,R106,10.03,95,103,54.96,131.98,,98,53.42,,,,,,,,,,,,,3,332.98,,,,
77,40,37,113,17.11,68,,,,,,,,,R107,5.3,56,90,54.04,128,59.67,,,,,,,,,,,,,,,2,218,,,,
77,40,37,113,17.11,71,,,,,,,,,R108,3.6,31,128,59.57,,,,,,,,,,,,,,,,,1,128,,,,
77,40,37,156,15.02,1,,,,,,,,,R109,6.4,62.4,74,48.51,121,66.68,102,57.28,,,,,,,,,,,,,3,297,,,,
77,40,37,193,,,,,,,,,,,R110,9.31,91,151,65.92,134,62.21,179,69.34,157,66.53,,,,,,,,,,,4,621,,,,
77,40,37,221.5,19.29,3,,,,,,,,,R111,6.7,23,131,61.29,,,,,,,,,,,,,,,,,1,131,,,,
77,40,37,221.5,30,46,19,3.5,11.08,3,,,,,R112,6.5,21,161,66.34,159,65.75,,,,,,,,,,,,,,,2,320,,,,
77,40,37,234.5,34.7,4,,,,,,,,,R113,11.29,89.5,145,61.6,,,,,,,,,,,,,,,,,1,145,,,,
77,40,37,258.5,,,,,,,,,,,R114,11.3,64.5,135,63.19,,,,,,,,,,,,,,,,,1,135,,,,
77,40,37,260.5,34.5,3,,,,,,,,,R115,5.8,25,188,71.83,142,64.97,,,,,,,,,,,,,,,2,330,,,,
77,40,37,274.5,51.5,5,,,,,,,,,R116,8,53,,,,,,,,,,,,,,,,,,,0,0,,,,
77,40,37,274.5,54.8,37,25.15,8,21.3,31,13,1,,,R117,6.92,22,131.98,,131.98,,,,,,,,,,,,,,,,2,263.96,,,,
77,40,37,274.5,54.8,37,25.15,8,21.3,34,12.35,5,,,R118,8.27,52.5,131.98,,131.98,,131.98,,,,,,,,,,,,,,3,395.93999999999994,,,,
77,40,37,274.5,54.8,45,47.38,2,17.24,13,,,,,R119,6,45,,,,,,,,,,,,,,,,,,,0,0,,,,
77,40,37,274.5,54.8,45,47.38,10,37.9,4,19.36,5,15.65,8,R120,8.9,55,131.98,,,,,,,,,,,,,,,,,,1,131.98,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,28.43908999999998,,,,
