Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arbre N° : 7,,Ligne N° : 7,,Variété : ,Nectarinier ,,,,Parcelle :  1306,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,,,,
,,Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau,,,
,,82,45,41,170,99.5,98,20.3,25,13,17.7,10.7,2.2,,,R 94,6.5,37,130,58.56,145,61.62,,,,,,,,,,,2,275,,,
,,82,45,41,170,99.5,98,20.3,25,13,23.7,5.8,9,,,R 95,6.1,45,140,65.37,127,60.99,,,,,,,,,,,2,267,,,
,,82,45,41,170,99.5,98,20.3,25,13,27.7,12,4,,,R 96,5.7,52,142,64.25,153,66.08,,,,,,,,,,,2,295,,,
,,82,45,41,174,121,55,101.3,27,16.1,4,15.3,0.5,9.8,19.2,R 97,5.4,24,142,62.32,133,64.1,,,,,,,,,,,2,275,,,
,,82,45,41,174,121,55,101.3,64.5,17.5,12.8,9.1,9,,,R 98,6,39,188,68.25,144,64.27,,,,,,,,,,,2,332,,,
,,82,45,41,174,121,55,101.3,64.5,17.5,15.8,,,,,R 99,7.1,52,159,65.58,166,65.94,122,58.24,,,,,,,,,3,447,,,
,,82,45,41,174,121,89,78.3,16,30.4,34.5,7,2,,,R 100,6.6,29,125,57.89,127,64.33,137,62.73,,,,,,,,,3,389,,,
,,82,45,41,174,121,89,78.3,16,30.4,44.5,,,,,R 101,5.7,32,99,52.24,100,54.45,,,,,,,,,,,2,199,,,
,,82,45,41,174,121,89,78.3,16,30.4,49.5,,,,,R 102,8.7,60,169,63.75,161,66.04,63,49.76,,,,,,,,,3,393,,,
,,82,45,41,174,121,89,78.3,27,52,41,22.4,5,,,R 103,6.3,37,139,61.76,88,53.86,,,,,,,,,,,2,227,,,
,,82,45,41,174,121,89,78.3,27,52,41,22.4,26.5,,,R 104,8,58,79,53.5,153,62.21,82,58.87,,,,,,,,,3,314,,,
,,82,45,41,174,121,89,78.3,27,52,41,22.4,31.5,,,R 105,7.7,45,174,68.28,128,63.01,135,63.26,,,,,,,,,3,437,,,
,,82,45,41,174,121,89,78.3,38,70,24,37.1,16,,,R 106,6.7,29,116,58.64,150,65.16,98,59.49,,,,,,,,,3,364,,,
,,82,45,41,174,121,89,78.3,38,70,24,37.1,20,,,R 107,8.7,52,106,56.01,177,65.82,107,58.32,110,59.54,,,,,,,4,500,,,
,,82,45,41,174,121,89,78.3,38,70,64,,,,,R 108,10.1,62,,,,,,,,,,,,,,,0,0,,,
,,82,45,41,174,121,89,78.3,38,70,70,,,,,R 109,10;2,55,143,60.98,128,64.12,152,66.06,55,44.68,69,48.71,,,,,5,547,,,
,,82,45,41,174,121,89,78.3,38,70,74,16.8,2.5,,,R 110,6,39,141,60,82,50.62,172,66.13,,,,,,,,,4,395,,,
,,82,45,41,174,121,89,78.3,38,70,74,16.8,20.5,,,R 111,81,53,133,65,,,,,,,,,,,,,1,133,,,
,,82,40,36,62,86.7,5,47,57,23.4,20,15.1,2.5,,,R 112,10,60,122,59.97,93,55.15,104,59.06,,,,,,,,,3,319,,,
,,82,40,36,62,86.7,5,47,57,23.4,20,15.1,4.5,10.2,5.5,R 113,9,54,125,59.56,103,57.91,122,62.85,61,45.06,44,40.18,,,,,5,455,,,
,,82,40,36,62,86.7,5,47,57,23.4,20,15.1,4.5,10.2,6.5,R 114,7.1,52,107,58.23,100,58.23,93,55.67,35,38.04,,,,,,,4,335,,,
,,82,40,36,62,86.7,21,25.4,3.5,14.3,18,,,,,R 115,4.3,32,110,49.54,147,65.33,122,61.8,,,,,,,,,3,379,,,
,,82,40,36,62,86.7,21,25.4,3.5,14.3,22,,,,,R 116,5.4,24,89,55.68,85,56.15,,,,,,,,,,,2,174,,,
,,82,40,36,62,86.7,21,25.4,4,13.2,13,11.6,15.5,11.7,3,R 117,5.7,40,121,60.29,80,51.33,,,,,,,,,,,2,201,,,
,,82,40,36,62,86.7,21,25.4,4,13.2,13,11.6,15.5,11.7,18,R 118,6.7,42,154,61.67,144,67.2,109,58.92,,,,,,,,,3,407,,,
,,82,40,36,62,86.7,21,25.4,4,13.2,13,11.6,15.5,11.7,43,R 119,5.6,39,135,61.2,110,57.8,,,,,,,,,,,2,245,,,
,,82,40,36,175,60.2,64,31.3,14,,,,,,,R 120,6.8,31,178,66.07,115,58.84,,,,,,,,,,,2,293,,,
,,82,40,36,175,60.2,64,31.3,21,,,,,,,R 121,8,41,142,60.5,107,56.51,102,56.38,124,59.25,19,31.35,,,,,5,494,,,
,,82,40,36,175,60.2,64,31.3,30,18.6,18,,,,,R 122,5.6,30,135,60.1,,,,,,,,,,,,,1,135,,,
,,82,40,36,175,60.2,67,26.6,6,12,13,,,,,R 123,7.4,58,174,66.43,191,71.22,95,56.44,85,54.83,,,,,,,4,545,,,
,,82,40,36,175,60.2,67,26.6,23,16.3,7,,,,,R 124,9.3,63,137,62.04,130,62.38,,,,,,,,,,,2,267,,,
,,82,40,36,175,60.2,67,26.6,23,16.3,9,,,,,R 125,10.5,62,145,66.16,,,,,,,,,,,,,1,145,,,
,,82,40,36,181,56.6,4,19.6,6,,,,,,,R 126,7.1,28,168,62.79,142,65.2,,,,,,,,,,,2,310,,,
,,82,40,36,181,56.6,4,19.6,31.5,7.2,4.3,,,,,R 127,5.7,36,196,70.85,95,57.74,,,,,,,,,,,2,291,,,
,,82,40,36,181,56.6,36,30.6,3,21.3,9,,,,,R 128,9.2,59,147,61.06,,,,,,,,,,,,,1,147,,,
,,82,40,36,181,56.6,36,30.6,3,21.3,21.7,16.8,7.5,,,R 129,7.3,54,139,59.69,,,,,,,,,,,,,1,139,,,
,,82,40,36,199,52.2,6,30.2,3,,,,,,,R 130,10,82,83,54.29,151,64.12,117,60.76,126,56.48,,,,,,,4,477,,,
,,82,40,36,199,52.2,6,30.2,21,,,,,,,R 131,7.5,39,104,56.32,112,57.76,140,62.5,,,,,,,,,3,356,,,
,,82,40,36,199,52.2,6,30.2,33,,,,,,,R 132,8,72,144,63.33,73,49.13,104,62.5,,,,,,,,,3,321,,,
,,82,40,36,199,52.2,6,30.2,44.5,,,,,,,R 133,9.7,80,105,56.8,70,49.69,,,,,,,,,,,2,175,,,
,,82,40,36,199,52.2,25,33.4,18,25,17,18.6,3,,,R 134,7.5,44,142,63.77,117,60.17,118,61.71,,,,,,,,,3,377,,,
,,82,40,36,199,52.2,25,33.4,18,25,17,18.6,5,,,R 135,7.2,48,167,69.77,111,60.9,,,,,,,,,,,2,278,,,
,,82,40,36,199,52.2,25,33.4,39,31,14,18.5,6,,,R 136,8.8,51,188,70.4,140,63.55,69,49.19,,,,,,,,,3,397,,,
,,82,40,36,199,52.2,25,33.4,39,31,14,18.5,18.5,,,R 137,10.5,75,125,62.57,68,54.3,54,42.7,41,39.64,37,41.52,,,,,5,325,,,
