,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5
82,66.5,40,29.5,32.0,16.3,2.0,,,,,,,R82,4.96,45.0,102.0,52.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
83,66.5,40,29.5,30.0,14.84,12.65,,,,,,,R83,10.63,113.0,148.0,63.0,202.0,70.0,134.0,68.0,,,0.0,0.0,0.0,0.0,0.0,0.0
84,66.5,40,29.5,65.0,,,,,,,,,R84,4.93,23.5,134.0,58.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
85,66.5,40,29.5,13.5,10.5,9.5,,,,,,,R85,6.0,61.0,146.0,64.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
86,66.5,40,29.5,12.0,,,,,,,,,R86,7.35,32.5,164.0,69.0,126.0,63.5,,,,,0.0,0.0,0.0,0.0,0.0,0.0
87,66.5,40,29.5,23.5,,,,,,,,,R87,9.64,117.0,172.0,67.0,244.0,77.0,192.0,70.0,,,0.0,0.0,0.0,0.0,0.0,0.0
88,66.5,40,29.5,5.5,30.88,38.0,,,,,,,R88,9.35,80.0,210.0,70.0,194.0,70.0,258.0,78.0,,,0.0,0.0,0.0,0.0,0.0,0.0
89,66.5,40,29.5,9.0,,,,,,,,,R89,10.25,106.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
90,66.5,40,29.5,-45.0,66.38,31.0,59.17,10.0,,,,,R90,10.14,116.0,136.0,60.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
91,66.5,40,29.5,-45.0,66.38,31.0,59.17,8.5,19.16,13.0,,,R91,5.1,20.0,186.0,69.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
92,66.5,40,29.5,-45.0,66.38,31.0,59.17,8.5,19.16,9.0,,,R92,11.72,106.5,214.0,73.0,200.0,68.0,182.0,69.0,,,0.0,0.0,0.0,0.0,0.0,0.0
93,66.5,40,29.5,-45.0,66.38,31.0,59.17,8.5,19.16,19.0,,,R93,8.3,73.0,218.0,74.0,248.0,76.0,71.0,47.0,,,0.0,0.0,0.0,0.0,0.0,0.0
94,66.5,40,29.5,-45.0,66.38,30.5,43.03,10.0,24.29,6.5,,,R95,5.74,48.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
95,66.5,40,29.5,-45.0,66.38,0.0,44.93,9.5,,,,,R96,10.49,87.0,214.0,73.5,222.0,73.5,190.0,71.0,,,0.0,0.0,0.0,0.0,0.0,0.0
96,66.5,40,29.5,-45.0,66.38,0.0,44.93,3.0,18.94,20.5,,,R97,14.5,100.0,280.0,79.0,152.0,67.0,262.0,82.0,,,0.0,0.0,0.0,0.0,0.0,0.0
0,64.5,34,33.0,62.0,,,,,,,,,R1,20.0,104.0,126.0,62.0,,,,,,,,,,,,
1,64.5,34,33.0,46.0,,,,,,,,,R2,10.0,59.5,166.0,66.0,,,,,,,,,,,,
2,64.5,34,33.0,66.0,,,,,,,,,R3,12.0,107.0,158.0,69.0,178.0,71.5,58.0,47.0,,,,,,,,
3,64.5,34,33.0,8.5,,,,,,,,,R4,9.0,70.5,186.0,73.5,178.0,72.0,152.0,65.0,,,,,,,,
4,64.5,34,33.0,0.0,,,,,,,,,R5,16.0,129.0,162.0,68.0,136.0,63.0,210.0,74.0,218.0,75.0,130.0,61.5,,,140.0,63.0
5,64.5,34,33.0,0.0,66.0,35.0,,,,,,,R6,7.0,44.0,128.0,61.0,134.0,61.0,142.0,65.0,112.0,60.0,,,,,,
6,64.5,34,33.0,0.0,66.0,0.0,10.0,5.0,,,,,R7,6.0,17.0,158.0,67.0,,,,,,,,,,,,
7,64.5,34,33.0,0.0,66.0,46.0,46.0,4.0,,,,,R8,9.5,96.0,112.0,57.0,150.0,66.0,,,,,,,,,,
8,64.5,34,33.0,0.0,66.0,46.0,46.0,0.0,,,,,R9,12.5,106.0,90.0,51.0,116.0,59.0,186.0,71.0,236.0,80.0,,,,,222.0,74.0
9,64.5,34,33.0,0.0,66.0,8.0,34.0,20.0,,,,,R10,7.0,45.0,170.0,67.0,,,,,,,,,,,,
10,64.5,34,33.0,0.0,66.0,8.0,34.0,14.0,,,,,R11,7.5,22.0,182.0,69.0,,,,,,,,,,,,
11,64.5,34,33.0,0.0,66.0,8.0,34.0,3.0,,,,,R12,8.0,34.0,210.0,73.0,200.0,74.0,,,,,,,,,,
12,64.5,34,33.0,0.0,66.0,8.0,34.0,7.0,13.0,6.0,,,R13,6.0,28.0,148.0,60.5,126.0,58.0,,,,,,,,,,
13,64.5,34,33.0,0.0,66.0,8.0,34.0,3.0,12.0,7.0,,,R14,9.5,43.0,172.0,66.5,,,,,,,,,,,,
14,64.5,34,32.5,66.0,55.5,25.0,,,,,,,R15,5.0,20.0,168.0,67.0,,,,,,,,,,,,
15,64.5,34,32.5,66.0,55.5,15.0,,,,,,,R16,9.0,89.5,104.0,56.5,202.0,73.0,184.0,70.0,,,,,,,,
16,64.5,34,32.5,66.0,55.5,0.0,,,,,,,R17,19.5,183.0,108.0,56.5,158.0,67.0,,,,,,,,,,
17,64.5,34,32.5,66.0,55.5,26.0,,,,,,,R18,11.0,115.5,196.0,70.0,104.0,54.0,112.0,58.0,,,,,,,,
18,64.5,34,32.5,66.0,55.5,-36.0,11.0,2.0,,,,,R19,5.0,34.5,152.0,67.0,,,,,,,,,,,,
19,64.5,34,32.5,66.0,55.5,46.0,,,,,,,R20,11.0,3.0,140.0,63.0,178.0,69.0,,,,,,,,,,
20,64.5,34,32.5,66.0,55.5,0.0,35.0,36.0,,,,,R21,17.0,17.0,194.0,70.0,152.0,69.0,148.0,65.0,200.0,70.0,,,,,,
21,64.5,34,32.5,66.0,55.5,0.0,35.0,36.0,17.0,77.0,,,R22,9.0,50.0,174.0,68.0,150.0,64.0,,,,,,,,,,
22,64.5,34,32.5,66.0,55.5,17.0,,,,,,,R23,7.0,70.0,92.0,53.0,70.0,52.0,74.0,48.5,,,,,,,,
23,64.5,34,32.5,66.0,55.5,0.0,,,,,,,R24,4.5,38.0,112.0,57.0,90.0,54.0,,,,,,,,,,
24,64.5,34,32.5,66.0,55.5,21.0,,,,,,,R25,14.5,106.0,204.0,71.5,200.0,72.0,166.0,66.0,156.0,62.0,,,,,,
25,64.5,34,32.5,66.0,55.5,17.0,24.0,7.5,,,,,R26,11.0,82.0,182.0,67.0,214.0,75.0,150.0,63.0,116.0,59.0,,,,,,
26,64.5,34,32.5,66.0,55.5,17.0,24.0,22.0,,,,,R27,7.0,47.0,216.0,75.0,186.0,70.5,180.0,70.0,,,,,,,,
27,64.5,34,32.5,66.0,55.5,17.0,24.0,15.0,9.5,5.0,,,R28,9.0,71.5,150.0,64.0,154.0,65.0,,,,,,,,,,
28,64.5,34,32.5,66.0,55.5,17.0,24.0,0.0,,,,,R29,11.0,67.0,106.0,55.0,158.0,64.0,170.0,68.0,192.0,68.5,,,,,208.0,74.0
29,64.5,34,32.5,0.0,,,,,,,,,R30,,,100.0,57.5,,,,,,,,,,,,
30,64.5,34,32.5,24.0,,,,,,,,,R31,13.0,107.0,160.0,64.0,58.0,49.0,,,,,,,,,,
31,64.5,34,32.5,86.0,12.0,13.0,,,,,,,R32,7.0,63.0,148.0,64.0,,,,,,,,,,,,
32,64.5,34,32.5,25.0,61.5,16.0,,,,,,,R33,7.5,68.0,146.0,63.0,114.0,60.0,158.0,65.0,,,,,,,,
33,64.5,34,32.5,25.0,61.5,-7.0,,,,,,,R34,6.0,67.5,134.0,62.0,108.0,57.5,84.0,54.0,,,,,,,,
34,64.5,34,32.5,25.0,61.5,7.0,,,,,,,R35,9.0,104.0,166.0,66.5,176.0,68.0,,,,,,,,,,
35,64.5,34,32.5,0.0,,,,,,,,,R36,8.0,79.0,230.0,77.0,140.0,64.0,128.0,69.5,,,,,,,,
36,64.5,34,32.5,42.0,57.5,32.0,,,,,,,R37,6.0,40.0,178.0,69.0,138.0,64.0,,,,,,,,,,
37,64.5,34,32.5,42.0,57.5,27.0,,,,,,,R38,8.0,59.0,174.0,69.5,242.0,79.0,,,,,,,,,,
38,64.5,34,32.5,42.0,57.5,-7.0,,,,,,,R39,12.5,122.0,136.0,64.0,144.0,65.5,156.0,66.5,,,,,,,,
39,64.5,34,32.5,42.0,57.5,7.0,31.0,4.0,,,,,R40,16.0,100.0,208.0,72.5,216.0,75.0,,,,,,,,,,
40,64.5,34,32.5,42.0,57.5,7.0,31.0,0.0,,,,,R41,14.5,98.0,220.0,76.0,240.0,78.5,132.0,61.0,154.0,67.0,,,,,,
41,64.5,34,32.5,28.5,79.0,0.0,,,,,,,R42,6.0,61.0,98.0,51.0,64.0,46.0,,,,,,,,,,
42,64.5,34,32.5,28.5,26.0,2.0,,,,,,,R43,10.0,110.0,132.0,62.0,118.0,58.0,,,,,,,,,,
43,64.5,34,32.5,32.0,,,,,,,,,R44,5.0,24.5,146.0,64.0,,,,,,,,,,,,
44,64.5,34,32.5,0.0,,,,,,,,,R45,,,,,,,,,,,,,,,,
45,64.5,34,32.5,75.0,36.0,32.0,,,,,,,R46,6.0,64.0,100.0,53.5,138.0,61.0,,,,,,,,,,
46,64.5,34,32.5,75.0,36.0,16.5,,,,,,,R47,9.0,90.0,180.0,64.0,144.0,142.0,,,,,,,,,,
47,64.5,34,32.5,18.0,,,,,,,,,R48,9.0,78.0,148.0,65.0,,,,,,,,,,,,
