DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
75.5,41,39.4,220,83.4,23,65.6,15,36.5,40,23.7,7,,,R58,5.24,23,168,,,,,,2021,1,168
77,35,38,183,57.6,110.5,46,6,22.26,3.5,,,,,R80,6.03,29,99,,,,,,2021,2,99
71,33,38,122,62,118,12,2.5,,,,,,,R126,4.4,25,109,97,134,64,,,2021,2,404
71,62,35,105,66.62,53,71.87,68,48.3,6,36.4,18,,,R28,7.01,46.5,151,151,,,,,2021,1,302
58.8,26,34,180.5,24.76,8.5,18.39,27,9.9,10.3,,,,,R46,4.89,36.2,,,,,,,2021,2,0
65.5,43,37.5,47,61,65,35,7,28,9.5,,,,,R20,10,48,152,140,161,,,,2019,1,453
73,92,198,37.2,66.1,17,29,8,19.4,9,,,,,R86,8,84,120,120,105,72,80,,2022,1,497
60,50,108,41,82,12.5,67,31,25,12.5,,26,,,R99,10,76,158,230,232,204,,,2019,1,824
59,55,34,5,38,10.5,24,25,,,,,,,R90,15,109,203,214,211,212,,,2019,1,840
73,37,36,279,63.3,11.8,24.5,6.2,16.4,0,,,,,R 27,6.5,53.2,80,150,,,,,2022,2,230
75.5,38.5,38,174,51.7,17,44,63,15,4,10.8,6,,,R62,5.46,36,84,91,126,,,,2021,1,301
75,60,41,117,79.1,29,24.8,13.2,14.4,25,,,,,R16,5.5,48,63,173,,,,,2022,1,236
77,46.5,38,59,87.6,180,69.49,23,13.83,4,,,,,R34,5.62,46,131.98,,,,,,2021,2,131.98
60,50,113.5,80,54,60,19,15,1.5,32,,5,18.5,6.5,R16,7.5,57,178,209,173,,,,2019,1,560
