Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Remarque,Rameaux.1,Fruit 1,Unnamed: 20,Fruit 2,Unnamed: 22,Fruit 3,Unnamed: 24,Fruit 4,Unnamed: 26,Fruit 5,Unnamed: 28,Fruit 6,Unnamed: 30,Fruit 7,Unnamed: 32,Fruit 8,Unnamed: 34,6ème ss charpante,7 ème ss charpante ,Unnamed: 17,Unnamed: 19,Unnamed: 36,Unnamed: 38,Unnamed: 18,                  6ème ss charpante,Unnamed: 21,Unnamed: 23,Unnamed: 25,Unnamed: 27,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,,,,,,,,,,,,,,,
,,,,,,,,,5,,,,,R77,12,34,,R77,143,63.5,135,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,31,7,,,,,R78,6,45,,R78,131,65,180,68,137,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9,,,,,R79,5,24,,R79,171,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12,,,,,R80,9,54,,R80,228,72.5,206,71,219,64.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10,,,,,R81,15,53,,R81,197,63,150,58.5,165,65,141,59,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,,,,,R82,13,76,,R82,276,71.5,221,64.5,169,57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,167,49,21,10,10.5,,,,,,,R83,6,35,,R83,190,68,230,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.5,,,,,,,,,R84,8,61,,R84,191,67,198,68,209,73,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.5,,,,,,,,,R85,8,64.5,,R85,180,64,190,68,170,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,,,,,,,,,R86,6.5,42,,R86,207,72,253,71,209,70,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,9,7.5,,,,,,,R87,7,30,,R87,180,70,150,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,13,13,,,,,,,R88,7,29,,R88,154,63,186,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,13,,,,,,,R89,7,32,,R89,169,66.5,181,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,56,59,49,5.5,25,18,15,10.5,,,R90,11,88,,R90,203,67,196,75,202,74,173,73,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1.5,,,R91,7,32,,R91,134,65,198,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,30,15,10,,,R92,8.5,56,,R92,192,64,161,66,202,73,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3.5,,,R93,5,2,,R93,206,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4,,,R94,8,37,,R94,254,72,174,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,39,9,,,,,R95,11,63,,R95,138,61,202,71,171,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.5,,,,,R96,9,58,,R96,163,68,197,69,137,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11,,,,,R97,13.5,72,,R97,185,69,181,68,209,73,190,71,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,,,,,R98,13,68,,R98,142,61,170,68,208,65,181,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,32,48.5,7,24,12,,,,,R99,5.5,22,,R99,136,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,R100,11,53,,R100,198,65.5,179,70.5,160,65,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10.5,,,,,R101,6,1.5,,R101,184,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,,,,,R102,15,38,,R102,134,67,132,71.5,153,61,180,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,34,25,29,,,,,R103,7,17,,R103,182,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,,,,,R104,6.5,34,,R104,133,70,171,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.5,,,,,R105,15,70,,R105,224,65,220,63,121,63,116,61,,,,,,,,,,,,,,,,,,,,,,,,
,,32,104,29,4,9,7,,,,,,,R106,7,60.5,,R106,214,69,191,67,230,66.5,150,62,,,,,,,,,,,,,,,,,,,,,,,,
